start_s,end_s,cell_id,imsi,rnti,lcid,n_tx_pdus,tx_bytes,n_rx_pdus,rx_bytes,delay_s,delay_std_dev_s,delay_min_s,delay_max_s,pdu_size_bytes,pdu_size_std_dev_bytes,pdu_size_min_bytes,pdu_size_max_bytes
1.7,1.8,1,2,11,3,1724,2258440,51,66810,0.0280173,0.00990957,0.00399773,0.0444977,1310,0.0,1310.0,1310.0
1.7,1.8,1,3,5,3,198,259380,73,95630,0.706141,0.0307829,0.633186,0.748997,1310,0.0,1310.0,1310.0
1.7,1.8,1,4,4,3,198,259380,164,214840,0.266408,0.328309,0.00113118,0.691496,1310,0.0,1310.0,1310.0
1.7,1.8,1,5,12,3,198,259380,155,203050,0.243748,0.319058,0.000987242,0.680994,1310,0.0,1310.0,1310.0
1.7,1.8,1,6,10,3,198,259380,247,323570,0.361377,0.159528,0.0764934,0.557504,1310,0.0,1310.0,1310.0
1.7,1.8,1,7,3,3,198,259380,160,209600,0.212037,0.257515,0.00123508,0.547992,1310,0.0,1310.0,1310.0
1.7,1.8,1,8,7,3,902,1181620,57,74670,0.129509,0.0118367,0.106991,0.149491,1310,0.0,1310.0,1310.0
1.7,1.8,1,9,1,3,198,259380,57,74670,0.890095,0.0193004,0.85899,0.92099,1310,0.0,1310.0,1310.0
1.7,1.8,1,10,6,3,1496,1959760,41,53710,0.0256354,0.0140273,0.00648909,0.0549891,1310,0.0,1310.0,1310.0
1.7,1.8,1,11,2,3,198,259380,67,87770,0.776112,0.250811,0.649488,1.408,1310,0.0,1310.0,1310.0
1.7,1.8,1,12,8,3,198,259380,57,74670,0.305092,0.0193004,0.273987,0.335987,1310,0.0,1310.0,1310.0
